epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
40,1.1444120407104492,0.4217687074829932,0.34,0.2,0.10149253731343284,0.17253731343283582,"[1.0, 0.0, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [11, 0, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
41,1.2313385725021362,0.3741496598639456,0.3,0.27944147355912063,0.2099145299145299,0.23039316239316243,"[0.058823529411764705, 0.7272727272727273, 0.1111111111111111, 0.5, 0.0]","[[1, 10, 2, 4, 0], [0, 8, 0, 3, 0], [0, 6, 1, 2, 0], [0, 4, 1, 5, 0], [0, 1, 0, 2, 0]]"
42,1.122390764951706,0.6122448979591837,0.2,0.2459061200237671,0.19645308924485125,0.1927574370709382,"[0.058823529411764705, 0.18181818181818182, 0.5555555555555556, 0.1, 0.3333333333333333]","[[1, 2, 4, 6, 4], [0, 2, 1, 4, 4], [0, 1, 5, 2, 1], [0, 0, 3, 1, 6], [1, 0, 1, 0, 1]]"
43,1.0210001349449158,0.6122448979591837,0.34,0.3320499108734402,0.36068128400785604,0.3437811906371745,"[0.4117647058823529, 0.18181818181818182, 0.3333333333333333, 0.4, 0.3333333333333333]","[[7, 1, 2, 7, 0], [4, 2, 1, 4, 0], [2, 0, 3, 4, 0], [5, 0, 1, 4, 0], [1, 0, 1, 0, 1]]"
44,1.0372439324855804,0.5782312925170068,0.38,0.24682115270350566,0.19873015873015873,0.27155555555555555,"[0.9411764705882353, 0.18181818181818182, 0.1111111111111111, 0.0, 0.0]","[[16, 1, 0, 0, 0], [9, 2, 0, 0, 0], [8, 0, 1, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
45,1.0380547285079955,0.54421768707483,0.22,0.26464646464646463,0.21212669683257923,0.15703167420814482,"[0.0, 0.5454545454545454, 0.4444444444444444, 0.0, 0.3333333333333333]","[[0, 9, 4, 3, 1], [0, 6, 2, 3, 0], [0, 4, 4, 1, 0], [0, 4, 6, 0, 0], [0, 0, 1, 1, 1]]"
46,1.0073039472103118,0.5714285714285714,0.42,0.3437908496732026,0.29514124293785315,0.304406779661017,"[0.9411764705882353, 0.0, 0.4444444444444444, 0.0, 0.3333333333333333]","[[16, 0, 0, 0, 1], [11, 0, 0, 0, 0], [5, 0, 4, 0, 0], [9, 0, 1, 0, 0], [1, 0, 1, 0, 1]]"
47,1.0105230808258057,0.5034013605442177,0.38,0.2720855614973262,0.2400644468313641,0.3186358754027927,"[0.7058823529411765, 0.45454545454545453, 0.0, 0.2, 0.0]","[[12, 2, 0, 3, 0], [3, 5, 0, 3, 0], [6, 2, 0, 1, 0], [8, 0, 0, 2, 0], [3, 0, 0, 0, 0]]"
48,1.0773928940296174,0.6190476190476191,0.28,0.3278787878787878,0.25662805662805666,0.21758043758043757,"[0.0, 0.2727272727272727, 0.3333333333333333, 0.7, 0.3333333333333333]","[[0, 2, 3, 10, 2], [0, 3, 3, 5, 0], [0, 2, 3, 4, 0], [0, 0, 2, 7, 1], [0, 0, 1, 1, 1]]"
49,1.0773801803588867,0.5306122448979592,0.4,0.3175282234105763,0.28491803278688527,0.2990273224043716,"[0.9411764705882353, 0.09090909090909091, 0.2222222222222222, 0.0, 0.3333333333333333]","[[16, 0, 0, 0, 1], [10, 1, 0, 0, 0], [7, 0, 2, 0, 0], [9, 0, 1, 0, 0], [2, 0, 0, 0, 1]]"
