epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
64,0.5223941653966904,0.6598639455782312,0.6,0.5115864527629234,0.503968253968254,0.5738095238095238,"[0.7878787878787878, 0.23529411764705882]","[[26, 7], [13, 4]]",0.5579322638146167,0.4734067790747496
65,0.47458847761154177,0.8095238095238095,0.58,0.5249554367201427,0.525101763907734,0.5767706919945726,"[0.696969696969697, 0.35294117647058826]","[[23, 10], [11, 6]]",0.5579322638146167,0.47387924427566375
66,0.45862453281879423,0.7891156462585034,0.56,0.5098039215686274,0.5098039215686274,0.56,"[0.6666666666666666, 0.35294117647058826]","[[22, 11], [11, 6]]",0.5561497326203209,0.47242638691788685
67,0.48881585001945493,0.7551020408163265,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5561497326203209,0.47560935756857836
68,0.48461546897888186,0.7687074829931972,0.56,0.5668449197860963,0.548440065681445,0.571559934318555,"[0.5454545454545454, 0.5882352941176471]","[[18, 15], [7, 10]]",0.5632798573975044,0.4761509216049521
69,0.40319875478744505,0.8707482993197279,0.4,0.48841354723707664,0.39123376623376627,0.3678571428571428,"[0.21212121212121213, 0.7647058823529411]","[[7, 26], [4, 13]]",0.554367201426025,0.4735035881617709
70,0.41825135350227355,0.8775510204081632,0.42,0.517825311942959,0.4084047327621379,0.3819012647898817,"[0.21212121212121213, 0.8235294117647058]","[[7, 26], [3, 14]]",0.5543672014260249,0.4732079143366853
71,0.4276953399181366,0.8775510204081632,0.54,0.5516934046345812,0.5308037535699714,0.5518237454100366,"[0.5151515151515151, 0.5882352941176471]","[[17, 16], [7, 10]]",0.5597147950089126,0.47528611935606685
72,0.407286262512207,0.891156462585034,0.58,0.5392156862745098,0.5384615384615385,0.5827692307692308,"[0.6666666666666666, 0.4117647058823529]","[[22, 11], [10, 7]]",0.5579322638146168,0.4740640761879142
73,0.41676256954669955,0.8639455782312925,0.54,0.5516934046345812,0.5308037535699714,0.5518237454100366,"[0.5151515151515151, 0.5882352941176471]","[[17, 16], [7, 10]]",0.5561497326203209,0.4740731939945346
74,0.4019573539495468,0.8707482993197279,0.42,0.517825311942959,0.4084047327621379,0.3819012647898817,"[0.21212121212121213, 0.8235294117647058]","[[7, 26], [3, 14]]",0.5561497326203209,0.4740731939945346
75,0.428313335776329,0.8095238095238095,0.44,0.5614973262032086,0.41666666666666663,0.37933333333333336,"[0.18181818181818182, 0.9411764705882353]","[[6, 27], [1, 16]]",0.5543672014260249,0.4727616703054841
76,0.4259182572364807,0.7891156462585034,0.56,0.4812834224598931,0.47619047619047616,0.5432380952380953,"[0.7272727272727273, 0.23529411764705882]","[[24, 9], [13, 4]]",0.5650623885918004,0.4753618282027801
77,0.4366012215614319,0.8571428571428571,0.54,0.46613190730837795,0.46236559139784944,0.5277419354838709,"[0.696969696969697, 0.23529411764705882]","[[23, 10], [13, 4]]",0.5650623885918004,0.4746743580927849
78,0.45204323530197144,0.7959183673469388,0.66,0.5570409982174688,0.5466666666666666,0.6192,"[0.8787878787878788, 0.23529411764705882]","[[29, 4], [13, 4]]",0.5668449197860963,0.4526115500392648
79,0.40432528257369993,0.8367346938775511,0.62,0.5267379679144385,0.5180111618467782,0.5889599188229324,"[0.8181818181818182, 0.23529411764705882]","[[27, 6], [13, 4]]",0.5632798573975045,0.44216198782850336
80,0.47422221302986145,0.7346938775510204,0.52,0.5508021390374331,0.5169082125603865,0.5292753623188406,"[0.45454545454545453, 0.6470588235294118]","[[15, 18], [6, 11]]",0.5632798573975044,0.4556009399580401
