group,tensor,shape,dtype,bytes,sha256
G0211,tensors/G0211.pt,"96,3,224,224",uint8,14452187,ae971990e56e2c66334e3a09932143fa43352b90d6b7e6beb21f4b037a01e42f
G0212,tensors/G0212.pt,"96,3,224,224",uint8,14452187,bdda616a977619b380ca495ad9d698e083c996b9970094a89aac249354482033
G0216,tensors/G0216.pt,"96,3,224,224",uint8,14452187,21471e95ab8b4992215d5f03e2ac7c5cacb1bd204f3c0aba28440910b582ed70
G0217,tensors/G0217.pt,"96,3,224,224",uint8,14452187,091c120700795baef4a4b3edc9402ffa75025483ee45262173d302476ac2d7fe
G0219,tensors/G0219.pt,"96,3,224,224",uint8,14452187,05c564fd24967c931062159be815cf085bb17685f312edfe83763a0a4186db0d
G0221,tensors/G0221.pt,"96,3,224,224",uint8,14452187,4685897113fc4f89100006ac14bf4fa5a4e95ba0b2250215949225fa2fe7a14c
G0223,tensors/G0223.pt,"96,3,224,224",uint8,14452187,de417327bced361dc494ebf61a064fee925b22d310fbbee09f5ac64f9071cfed
G0224,tensors/G0224.pt,"96,3,224,224",uint8,14452187,f967c38a949536acd4a49b024ae4930ea028061965b714889e7af7d012706bfd
G0225,tensors/G0225.pt,"96,3,224,224",uint8,14452187,ca8c9092a7fcf4280e46a352298fbca6532d45cda0552838d48d74a9c526a979
G0228,tensors/G0228.pt,"96,3,224,224",uint8,14452187,f8649a11a39fa2d019e4b70bfcd195bb48711e6d605f94162257c086e2fdd693
G0230,tensors/G0230.pt,"96,3,224,224",uint8,14452187,acd3e93bb52ab22dc467b3b70f868c2f18275cc2aa2af5eba512e0fd0ece1646
G0231,tensors/G0231.pt,"96,3,224,224",uint8,14452187,61f534a4602a4f032a246b6e7b2ca95637a61af0a89a5dcc20f2d00a2dd533ed
G0232,tensors/G0232.pt,"96,3,224,224",uint8,14452187,72649f7654c7bf687a031628cab526c8a40cbb2ba83579e182cd2c885a7374a6
G0235,tensors/G0235.pt,"96,3,224,224",uint8,14452187,c9479c3b43e1787230a01bb18a53bab733600497a229d1f131fc9cbd7d434457
G0237,tensors/G0237.pt,"96,3,224,224",uint8,14452187,abd15977b721ba136013d888690c6290ec4d607c2fca04c5158095cdd617ca16
G0238,tensors/G0238.pt,"96,3,224,224",uint8,14452187,c78edbe6693408e028625f0ea7b91a0e7df997b78b5d68cf632538601c100dae
G0239,tensors/G0239.pt,"96,3,224,224",uint8,14452187,514b4dc2c49ec90988c6c92b59102f416ba135a453eb9e36af7e588ba6104f29
G0240,tensors/G0240.pt,"96,3,224,224",uint8,14452187,fa190c78b4a810c5d26b49305f9c90b2868b0930ddbcde2b97179931eea0e70f
G0246,tensors/G0246.pt,"96,3,224,224",uint8,14452187,988e3217ce977ed9089bca1a09976519e29fdfe9017c18da942e89416fbb3ae1
G0247,tensors/G0247.pt,"96,3,224,224",uint8,14452187,a8e43f605f748c2c4d1812fb95335651fb7f6b957982f768ffabd0293d57fd61
G0248,tensors/G0248.pt,"96,3,224,224",uint8,14452187,00a65bb43e853fe2aee418e99b1c976b9e37675f9e5763da1fbb9cee31fdd7e9
G0249,tensors/G0249.pt,"96,3,224,224",uint8,14452187,a8e3dce8e9bac2e90c240944336c9c5a71178a0065486b4b4635c00d0a477583
G0255,tensors/G0255.pt,"96,3,224,224",uint8,14452187,9f5412728fbe22baf9fd05426164f24584127b6cddacacb99c23e45add720691
G0256,tensors/G0256.pt,"96,3,224,224",uint8,14452187,0498c983a75b00956e984a48e6fd6ac4be2a09c761ea63aae4801cff9b9af1da
G0257,tensors/G0257.pt,"96,3,224,224",uint8,14452187,e12047185d3beb0e6232efa27e5c2d5e9b6d2a1175495cc6937bf985bb64cc48
G0258,tensors/G0258.pt,"96,3,224,224",uint8,14452187,25978cfb613e031d961eef4cb4a19d4c03e9ae30f2d3eabcfd56d7fae7159eb2
